Date, Open, High, Low,Close, Volume
06/25/18,28.5,29,28.25,28.5,2724700
06/22/18,28.75,28.75,27.25,28.25,13917200
06/21/18,27.25,27.75,27.25,27.25,11719700
06/20/18,28.5,28.5,27.25,27.25,16084100
06/19/18,29.75,29.75,27.75,28.25,5655200
06/18/18,30,30.25,29.5,29.75,2120100
06/14/18,30,30.25,29.75,30,22891699
06/13/18,30,30.5,30,30,7289000
06/12/18,30,30.5,30,30,13452800
06/11/18,29.75,30.5,29.5,30,4153700
06/08/18,29.75,29.75,29.25,29.5,1693000
06/07/18,29.75,29.75,29,29.5,6310900
06/06/18,28.75,30,28.75,29.5,16561301
06/05/18,28.5,29.25,28.5,28.75,2347400
06/04/18,28.25,29,28.25,28.5,12148900
05/31/18,28.75,28.75,28.25,28.25,10668400
05/30/18,28.5,28.5,28,28.25,764600
05/29/18,29,29,28.25,28.5,4277900
05/28/18,29,29,28,28.75,2100300
05/25/18,29,29.25,28.5,29,8862200
05/24/18,29.25,29.5,29,29,7640000
05/23/18,29.25,29.5,29,29,2708000
05/22/18,29,29.75,29,29.25,7749700
05/21/18,29.25,29.25,29,29,10012300
05/18/18,29,29.5,29,29.25,6653700
05/17/18,29,29.5,28.75,29,6485300
05/16/18,28,29.25,28,28.5,5022200
05/15/18,27.5,28.25,27,27.25,22976600
05/14/18,28,28,27,27.25,6003400
05/11/18,28,28,27.5,27.75,6723800
05/10/18,29,29.25,27.75,28,14074900
05/09/18,28.5,29.5,28.5,29,17881600
05/08/18,28.5,28.5,28.25,28.25,9459700
05/07/18,28.5,29,28.25,28.5,16076800
